,PTS
PTS,1.0
FGM,0.9921607132701743
FGA,0.9881365728096576
FTM,0.9095683021029743
TOV,0.9028099213672535
MIN,0.9018086904410811
FTA,0.9012316543944406
GS,0.8283720975384906
AST,0.7805676490768015
STL,0.754008272204833
DREB,0.7487316908702397
FG3A,0.7391518240580173
FG3M,0.7199124067537589
PF,0.7167931716985734
GP,0.6874469021391797
REB,0.6820477646935589
BLK,0.4196639716733449
OREB,0.40150493669580567
FT_PCT,0.32714214464608304
FG3_PCT,0.21291548803134253
PLAYER_AGE,0.10016668815713123
FG_PCT,0.09046526124886592
TEAM_ID,0.040133367579175176
PLAYER_ID,-0.3225855474617581
LEAGUE_ID,
